,Unnamed: 0,Unnamed: 0.1,id,conversation_id,created_at,date,timezone,place,tweet,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,text,labels
45,45,45,1244329579768098818,1244329579768098818,1585506264000,2020-03-29 23:54:24,530,,"Sometimes you miss the memories. Not just the person.
#stayhome #staysafe #freetime #chill #gathering #friends #people #bangalorediaries #freetime #art #friends #family #nature #life #living #corona #lockdown #day5â¦  https://www.instagram.com/p/B-U9b3ajUUs/?igshid=80zwbaufk2uyÂ â¦","['#stayhome', '#staysafe', '#freetime', '#chill', '#gathering', '#friends', '#people', '#bangalorediaries', '#freetime', '#art', '#friends', '#family', '#nature', '#life', '#living', '#corona', '#lockdown', '#day5']",[],328551761,328551761,adharshmalayil,Adharsh Malayil,7,23,https://twitter.com/adharshmalayil/status/1244329579768098818,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '328551761', 'username': 'adharshmalayil'}]",,,,,,-1
207,207,207,1245416980410028032,1245416980410028032,1585765521000,2020-04-01 23:55:21,530,,"Indian Council for Cultural Relations @ICCR_Delhi 
 is holding a Global Art Competition âUNITED AGAINST CORONA - EXPRESS THROUGH ARTâ  promoting #ArtinthetimeofCorona. Express yourselves and win prizes. See  https://www.iccr.gov.in/sites/default/files/uploadfiles/Competition_Guidelines.pdfÂ â¦ for details.  pic.twitter.com/59Yqm15Sjb pic.twitter.com/nYdWYoqUo6",['#artinthetimeofcorona'],[],2720527185,2720527185,PritamKumar4u,á¢áá¥Tê¯áªm á¦umáªá,3,23,https://twitter.com/PritamKumar4u/status/1245416980410028032,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '2720527185', 'username': 'PritamKumar4u'}, {'user_id': '2812895832', 'username': 'ICCR_Delhi'}]",,,,,,0
451,451,451,1245774729618886656,1245774729618886656,1585850815000,2020-04-02 23:36:55,530,,"Comic Strip 
Day 9
Quarantine
#21dayslockdown
#21dayslockdownindia 
Kolkata, 2020
. . . .
. . . 
#covid_19 #covid19india #covid19kolkata #corona #covidart #covidartexhibit #coronaindia #artquarantined #artclassifiedâ¦  https://www.instagram.com/p/B-fOnX_DHxp/?igshid=ysujz3bz6fiqÂ â¦","['#21dayslockdown', '#21dayslockdownindia', '#covid_19', '#covid19india', '#covid19kolkata', '#corona', '#covidart', '#covidartexhibit', '#coronaindia', '#artquarantined', '#artclassified']",[],2351739758,2351739758,kls_rt,Ritam Talukdar,4,23,https://twitter.com/kls_rt/status/1245774729618886656,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '2351739758', 'username': 'kls_rt'}]",,,,,,-1
455,455,455,1245774641760788481,1245774641760788481,1585850794000,2020-04-02 23:36:34,530,,"Comic Strip 
Day 9
Quarantine
#21dayslockdown
#21dayslockdownindia 
Kolkata, 2020
. . . .
. . . 
#covid_19 #covid19india #covid19kolkata #corona #covidart #covidartexhibit #coronaindia #artquarantinedâ¦  https://www.instagram.com/p/B-fOk1RjsNG/?igshid=1g1eh0ra7vpnsÂ â¦","['#21dayslockdown', '#21dayslockdownindia', '#covid_19', '#covid19india', '#covid19kolkata', '#corona', '#covidart', '#covidartexhibit', '#coronaindia', '#artquarantined']",[],2351739758,2351739758,kls_rt,Ritam Talukdar,4,23,https://twitter.com/kls_rt/status/1245774641760788481,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '2351739758', 'username': 'kls_rt'}]",,,,,,-1
474,474,474,1245773760835342336,1245773760835342336,1585850584000,2020-04-02 23:33:04,530,,"ANTIVIRUS ð
Swipe ð 
For more follow @iravikoranga
.
.
.
.
. 
#anrivirus #corona #coronamemes #webcomics #art #artbykoranga #ravikoranga #doodle #doodlesofinstagram #comichumor #betterworld #godsplan #seemedoodleâ¦  https://www.instagram.com/p/B-fOLH3j0Zo/?igshid=540jl95fyha6Â â¦","['#anrivirus', '#corona', '#coronamemes', '#webcomics', '#art', '#artbykoranga', '#ravikoranga', '#doodle', '#doodlesofinstagram', '#comichumor', '#betterworld', '#godsplan', '#seemedoodle']",[],267591077,267591077,iravikoranga,Ravi Koranga,4,23,https://twitter.com/iravikoranga/status/1245773760835342336,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '267591077', 'username': 'iravikoranga'}]",,,,,,0
646,646,646,1246137559509422080,1246137559509422080,1585937320000,2020-04-03 23:38:40,530,,"Things havenât changed much during #quarantine. Always have, and still #stayingwithart!ð
.
.
.
#doodlebookmark #doodlegirl #artduringisolation #quarantineart #quarantineartclub #staywithart #womenartistsofinstagramâ¦  https://www.instagram.com/p/B-hznRGFyM3/?igshid=sijwawelhmwyÂ â¦","['#quarantine', '#stayingwithart', '#doodlebookmark', '#doodlegirl', '#artduringisolation', '#quarantineart', '#quarantineartclub', '#staywithart', '#womenartistsofinstagram']",[],179470392,179470392,InSONAMiac,Sonamm Sharma,5,23,https://twitter.com/InSONAMiac/status/1246137559509422080,False,1,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '179470392', 'username': 'InSONAMiac'}]",,,,,,0
2253,2253,2253,1248673116408217600,1248673116408217600,1586541844000,2020-04-10 23:34:04,530,,"On the drawing board today. What are you creating right now?

#digitaldrawing #art #artist
#digitalsketch #digitalpainting #digital_art #digitalart #draw #drawings #drawing #illustration #artwork #lockdown #inthistogether #creatives #painting #ipad #ipadpro #pencil #procreate pic.twitter.com/wvzK80oa12","['#digitaldrawing', '#art', '#artist', '#digitalsketch', '#digitalpainting', '#digital_art', '#digitalart', '#draw', '#drawings', '#drawing', '#illustration', '#artwork', '#lockdown', '#inthistogether', '#creatives', '#painting', '#ipad', '#ipadpro', '#pencil', '#procreate']",[],18933832,18933832,AshrafGhori,Ashraf Ghori,5,23,https://twitter.com/AshrafGhori/status/1248673116408217600,False,9,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '18933832', 'username': 'AshrafGhori'}]",,,,,,0
2664,2664,2664,1249399967141310465,1249399967141310465,1586715139000,2020-04-12 23:42:19,530,,Retrace Your Steps for minimum damage #lockdown #retrace #steps #drawing #Sketching #blackandwhite #minimum #damage #StayHome #StaySafe #Covid_19 #coronavirus #UAE #artist #art #Lebanon #shishatli #tshirts #mugs #Stickers pic.twitter.com/E2Hr5aIs1j,"['#lockdown', '#retrace', '#steps', '#drawing', '#sketching', '#blackandwhite', '#minimum', '#damage', '#stayhome', '#staysafe', '#covid_19', '#coronavirus', '#uae', '#artist', '#art', '#lebanon', '#shishatli', '#tshirts', '#mugs', '#stickers']",[],1117493397613420544,1117493397613420544,ShiShatli,ShiShatli,7,23,https://twitter.com/ShiShatli/status/1249399967141310465,False,3,0,1,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '1117493397613420544', 'username': 'ShiShatli'}]",,,,,,-1
3072,3072,3072,1249759915901628417,1249759915901628417,1586800958000,2020-04-13 23:32:38,530,,"Comic Strip 
Day 20
Quarantine
#21dayslockdown
#21dayslockdownindia 
Kolkata, 2020
. . . .
. . . 
#covid_19 #covid19india #covid19kolkata #corona #covidart #covidartexhibit #coronaindia #artquarantinedâ¦  https://www.instagram.com/p/B-7i3uDDg_l/?igshid=1v2w1bllo8oyvÂ â¦","['#21dayslockdown', '#21dayslockdownindia', '#covid_19', '#covid19india', '#covid19kolkata', '#corona', '#covidart', '#covidartexhibit', '#coronaindia', '#artquarantined']",[],2351739758,2351739758,kls_rt,Ritam Talukdar,1,23,https://twitter.com/kls_rt/status/1249759915901628417,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '2351739758', 'username': 'kls_rt'}]",,,,,,-1
3123,3123,3123,1249757934168559616,1249757934168559616,1586800485000,2020-04-13 23:24:45,530,,"Don't know, where covid 19 problem will lead, but we should be ready.  #blackout #blackoutpoetry #poetry #hindustantimes #newspaperblackout #inspiration #art @ Bhopal, Madhya Pradesh  https://www.instagram.com/p/B-7h99NHJIf/?igshid=853pt3zda88lÂ â¦","['#blackout', '#blackoutpoetry', '#poetry', '#hindustantimes', '#newspaperblackout', '#inspiration', '#art']",[],104199233,104199233,piyushimself,Piyush Jain,1,23,https://twitter.com/piyushimself/status/1249757934168559616,False,1,0,2,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '104199233', 'username': 'piyushimself'}]",,,,,,0
3147,3147,3147,1249757080644251663,1249757080644251663,1586800282000,2020-04-13 23:21:22,530,,"Good Night
#goodnight #goodvibes #art #artist #lockdown #cronavirusâ ï¸ #photography #neverchange #villain #ilovemyself #lyricist #musicdirector #hiphop #stayhome 
Use these social magical links to reach me....
Facebook Page:
 https://m.facebook.com/officialpeedevol/?ref=bookmarksÂ â¦ pic.twitter.com/djTXQNvkH6","['#goodnight', '#goodvibes', '#art', '#artist', '#lockdown', '#cronavirus', '#photography', '#neverchange', '#villain', '#ilovemyself', '#lyricist', '#musicdirector', '#hiphop', '#stayhome']",[],1246682194635935744,1246682194635935744,evol_peed,Peed Evol,1,23,https://twitter.com/evol_peed/status/1249757080644251663,False,1,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '1246682194635935744', 'username': 'evol_peed'}]",,,,,,1
3199,3199,3199,1249755592060616704,1249755592060616704,1586799927000,2020-04-13 23:15:27,530,,"Created Bubble in Cinema 4D.
Working with different shaders.
Renderer: Corona
.
.
.
.
.
#3d #cgi #c4d #render #corona #coronarender #art #cgarts #model pic.twitter.com/EcD8m7W3zp","['#3d', '#cgi', '#c4d', '#render', '#corona', '#coronarender', '#art', '#cgarts', '#model']",[],1078256418472554496,1078256418472554496,Pratham06968009,Prathamesh,1,23,https://twitter.com/Pratham06968009/status/1249755592060616704,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '1078256418472554496', 'username': 'Pratham06968009'}]",,,,,,0
4028,4028,4028,1250844488894779393,1250844488894779393,1587059540000,2020-04-16 23:22:20,530,,"ð²How did you feel ??????????????
#madebyme #natural #drawing #artists #NaturalBeauty #corona #Quarantine #CoronavirusLockdown pic.twitter.com/9XhMovd23v","['#madebyme', '#natural', '#drawing', '#artists', '#naturalbeauty', '#corona', '#quarantine', '#coronaviruslockdown']",[],1128644950181023744,1128644950181023744,BhavikJikadara1,Bhavik Jikadara,4,23,https://twitter.com/BhavikJikadara1/status/1250844488894779393,False,4,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '1128644950181023744', 'username': 'BhavikJikadara1'}]",,,,,,-1
4493,4493,4493,1251204992704356352,1251204992704356352,1587145491000,2020-04-17 23:14:51,530,,Can't wait for this happy moment! #Covid_19 #art #digitalart #Day22OfLockdown pic.twitter.com/eshZUWWY9C,"['#covid_19', '#art', '#digitalart', '#day22oflockdown']",[],3190680678,3190680678,asad_axhfaq,Asad Ashfaq,5,23,https://twitter.com/asad_axhfaq/status/1251204992704356352,False,1,0,1,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '3190680678', 'username': 'asad_axhfaq'}]",,,,,,0
575,575,575,1246140205767094272,1246140205767094272,1585937951000,2020-04-03 23:49:11,530,,"Water Intake ð§

Work from Home: 4-5 ltrs a day 
Work from Office: 500ml - 1 ltr a day

#Benefits_Of_Lockdown #QuarantineLife #wfhlife","['#benefits_of_lockdown', '#quarantinelife', '#wfhlife']",[],133694254,133694254,tejasbhatiaa,Tejas Bhatia,5,23,https://twitter.com/tejasbhatiaa/status/1246140205767094272,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '133694254', 'username': 'tejasbhatiaa'}]",,,,,,1
804,804,804,1246504967923367942,1246504967923367942,1586024917000,2020-04-04 23:58:37,530,,Work from home in a lockdown is the worst cocktail ever! #wfhlife,['#wfhlife'],[],52724837,52724837,Pratik9T,Pratik,6,23,https://twitter.com/Pratik9T/status/1246504967923367942,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '52724837', 'username': 'Pratik9T'}]",,,,,,-1
1643,1643,1643,1247952694746071040,1247952694746071040,1586370082000,2020-04-08 23:51:22,530,,"@ShivaNirvana switching between Gemini and Maa , Majili and Ninnu kori, both are best, love watching after long time #lockdown #wfhlife","['#lockdown', '#wfhlife']",[],853236190803353600,853236190803353600,yrs_nag1,Ravi Shankar Nag,3,23,https://twitter.com/yrs_nag1/status/1247952694746071040,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '853236190803353600', 'username': 'yrs_nag1'}, {'user_id': '872003428330778624', 'username': 'ShivaNirvana'}]",,,,,,1
1834,1834,1834,1248316178553946120,1248316178553946120,1586456744000,2020-04-09 23:55:44,530,,"My #WFH wake up time schedule 
Weekdays: 9:00 am
Weekends /Holidays : 6:30 am

#wfhlife #WorkFromHomeLife #21daylockdown #lockdown","['#wfh', '#wfhlife', '#workfromhomelife', '#21daylockdown', '#lockdown']",[],23955770,23955770,ParthaBarman,Partha Barman,4,23,https://twitter.com/ParthaBarman/status/1248316178553946120,False,1,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '23955770', 'username': 'ParthaBarman'}]",,,,,,1
4382,4382,4382,1251209065914654721,1251209065914654721,1587146462000,2020-04-17 23:31:02,530,,"our real Work From Home ðð... #babylife 
.
.
#wfh #wfhlife #evah #EvahVasa #Life #Work #Balance #nofilter
#covid #reset #recalibrate @ Home  https://www.instagram.com/p/B_F1a4gJbh4HaKEK3tAuk2-cPUYBMrjqsVMXoA0/?igshid=15u402r5o9ud3Â â¦","['#babylife', '#wfh', '#wfhlife', '#evah', '#evahvasa', '#life', '#work', '#balance', '#nofilter', '#covid', '#reset', '#recalibrate']",[],39450557,39450557,bhavikvasa,Bhavik Vasa,5,23,https://twitter.com/bhavikvasa/status/1251209065914654721,False,2,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '39450557', 'username': 'bhavikvasa'}]",,,,,,1
98,98,98,1244692905555419137,1244692905555419137,1585592888000,2020-03-30 23:58:08,530,,"Corona virus update, it's very dangerous for world.ðð®ð³
#CoronaUpdate #Coronavirustruth #coronavirus #IndiaFightsCoronavirus #CoronaLockdown #WorkFromHomeLife #StayAwareStaySafe #StaySafe #StayHomeStaySafe #StayHomeSaveLives #StayHomeIndia #StaySafeStayHome #GujaratFightsCovid19 pic.twitter.com/4nzDRuXvL7","['#coronaupdate', '#coronavirustruth', '#coronavirus', '#indiafightscoronavirus', '#coronalockdown', '#workfromhomelife', '#stayawarestaysafe', '#staysafe', '#stayhomestaysafe', '#stayhomesavelives', '#stayhomeindia', '#staysafestayhome', '#gujaratfightscovid19']",[],233188283,233188283,YogeshRavaliya,Yogesh Ravaliya,1,23,https://twitter.com/YogeshRavaliya/status/1244692905555419137,False,2,1,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '233188283', 'username': 'YogeshRavaliya'}]",,,,,,-1
241,241,241,1245415981855281152,1245415981855281152,1585765283000,2020-04-01 23:51:23,530,,"Every human being is the author of his health or disease 
#lockdown
#WorkFromHome  https://twitter.com/AnupamPGautam/status/1245053320315584514Â â¦ pic.twitter.com/S12Md9aHkB","['#lockdown', '#workfromhome']",[],273755545,273755545,AnupamPGautam,Anupam Prakash Gautam,3,23,https://twitter.com/AnupamPGautam/status/1245415981855281152,False,1,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '273755545', 'username': 'AnupamPGautam'}]",,,,,,-1
1202,1202,1202,1247226039790526466,1247226039790526466,1586196834000,2020-04-06 23:43:54,530,,"â¢ QUARANTINE TIME REMIX â¢
QUEEN - I WANT TO BREAK FREE (DJ BANDHAN REMIX) 
COMING SOON
#DJBANDHAN #QUARANTINE #STAYHOME #STAYSAFE #remixes #queen #iwanttobreakfree #comingsoon #remix #rework #electro #flstudio #working #bootleg #workingfromhome #electrohouse #electrohousemusic pic.twitter.com/mWAjJDgrEi","['#djbandhan', '#quarantine', '#stayhome', '#staysafe', '#remixes', '#queen', '#iwanttobreakfree', '#comingsoon', '#remix', '#rework', '#electro', '#flstudio', '#working', '#bootleg', '#workingfromhome', '#electrohouse', '#electrohousemusic']",[],295542567,295542567,DJ_Bandhan,DJ Bandhan,1,23,https://twitter.com/DJ_Bandhan/status/1247226039790526466,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '295542567', 'username': 'DJ_Bandhan'}]",,,,,,0
1596,1596,1596,1247954632816472064,1247954632816472064,1586370544000,2020-04-08 23:59:04,530,Alibag,"Stay Safe in your home
#coronavirus #WorkFromHome STAY AT HOME #TheLockdown pic.twitter.com/u11RwpJ476 â at Alibag","['#coronavirus', '#workfromhome', '#thelockdown']",[],185625728,185625728,sunitgurav,Sunit Gurav,3,23,https://twitter.com/sunitgurav/status/1247954632816472064,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '185625728', 'username': 'sunitgurav'}]",,,,,,1
1834,1834,1834,1248316178553946120,1248316178553946120,1586456744000,2020-04-09 23:55:44,530,,"My #WFH wake up time schedule 
Weekdays: 9:00 am
Weekends /Holidays : 6:30 am

#wfhlife #WorkFromHomeLife #21daylockdown #lockdown","['#wfh', '#wfhlife', '#workfromhomelife', '#21daylockdown', '#lockdown']",[],23955770,23955770,ParthaBarman,Partha Barman,4,23,https://twitter.com/ParthaBarman/status/1248316178553946120,False,1,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '23955770', 'username': 'ParthaBarman'}]",,,,,,1
2149,2149,2149,1248677794139131904,1248677794139131904,1586542960000,2020-04-10 23:52:40,530,,"Don't let your spirits go low due to this lockdown scenario. Make use of available resources and keep your good work steady!

#coronavirus #stayathome #pandemia #workout #selfquarantine #stayhome #fitness #socialdistancing #photography #quarantinelife #quarantine #staysafe pic.twitter.com/NFYLgvRrEb","['#coronavirus', '#stayathome', '#pandemia', '#workout', '#selfquarantine', '#stayhome', '#fitness', '#socialdistancing', '#photography', '#quarantinelife', '#quarantine', '#staysafe']",[],1056660243357286405,1056660243357286405,baleeqah,Baleeq,5,23,https://twitter.com/baleeqah/status/1248677794139131904,False,1,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '1056660243357286405', 'username': 'baleeqah'}]",,,,,,1
2429,2429,2429,1249038599527395331,1249038599527395331,1586628982000,2020-04-11 23:46:22,530,,"Save yourself from loosing your audience this lockdown.Letâs build new audience to your brand.
 http://www.fixlsolutions.comÂ 
#lockdown #businessopportunity #onlinemarketing #Easter #fixlsolutions #stayhome #workfromhome #programming #innovation #newtechnology #Brand #EasterWeekend pic.twitter.com/SN5cpu2Gix","['#lockdown', '#businessopportunity', '#onlinemarketing', '#easter', '#fixlsolutions', '#stayhome', '#workfromhome', '#programming', '#innovation', '#newtechnology', '#brand', '#easterweekend']",[],903186016705679360,903186016705679360,Fixlsolutions,Fixl,6,23,https://twitter.com/Fixlsolutions/status/1249038599527395331,False,2,0,3,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '903186016705679360', 'username': 'Fixlsolutions'}]",,,,,,-1
2503,2503,2503,1249034968929468417,1249034968929468417,1586628117000,2020-04-11 23:31:57,530,Be Best Consultants,"Don't panic about your #ABROADDREAM
#COVID19 #Staysafeathome
ð Our educational experts are now call away, we are here to help you with the process while you are at home #Workfromhome
ð± +918985664888

#Coronavirus_COVID20
#nCoronavirus #Covid20 #Bewareofcorona #Preventscorona pic.twitter.com/ZFcRtzlodI â at Be Best Consultants","['#abroaddream', '#covid19', '#staysafeathome', '#workfromhome', '#coronavirus_covid20', '#ncoronavirus', '#covid20', '#bewareofcorona', '#preventscorona']",[],54473651,54473651,mranganath,Ranganath Mummadi,6,23,https://twitter.com/mranganath/status/1249034968929468417,False,0,0,0,,(corona OR coronavirus OR covid OR pandemic OR lockdown OR quarantine OR covid-19 OR ppe),,"28.5934,77.2223,2000km",,,,,"[{'user_id': '54473651', 'username': 'mranganath'}]",,,,,,1
